-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
 -182  2038
 -422  2004
 -655  1940
 -880  1848
-1093  1730
-1290  1589
-1468  1427
-1626  1242
-1762  1041
-1873   825
-1958   597
-2015   362
-2043   121
-2043  -121
-2015  -362
-1958  -597
-1873  -825
-1763 -1041
-1626 -1242
-1468 -1427
-1290 -1589
-1093 -1730
 -880 -1848
 -656 -1940
 -422 -2003
 -182 -2038
   61 -2046
  302 -2025
  540 -1975
  769 -1897
  988 -1793
 1193 -1663
 1382 -1510
 1551 -1336
 1698 -1143
 1821  -935
 1919  -712
 1990  -481
 2033  -242
 2047     0
 2033   242
 1990   481
 1919   712
 1821   935
 1698  1143
 1551  1336
 1382  1510
 1194  1663
  988  1793
  769  1897
  540  1975
  302  2025
   61  2046
